# z    r(Mpc/h)
3.701233744581527429e-01 1.010929768315367483e+03
3.711237079026342145e-01 1.013391548754940573e+03
3.721240413471157416e-01 1.015851892039306790e+03
3.731243747915972131e-01 1.018310798588870853e+03
3.741247082360786846e-01 1.020768268826176381e+03
3.751250416805602117e-01 1.023224303175895670e+03
3.761253751250416832e-01 1.025678902064824115e+03
3.771257085695232103e-01 1.028132065921871572e+03
3.781260420140046818e-01 1.030583795178055198e+03
3.791263754584861534e-01 1.033034090266491830e+03
3.801267089029676804e-01 1.035482951622391965e+03
3.811270423474491520e-01 1.037930379683049523e+03
3.821273757919306790e-01 1.040376374887837073e+03
3.831277092364121506e-01 1.042820937678195605e+03
3.841280426808936221e-01 1.045264068497631342e+03
3.851283761253751492e-01 1.047705767791703693e+03
3.861287095698566207e-01 1.050146036008019792e+03
3.871290430143381478e-01 1.052584873596228590e+03
3.881293764588196193e-01 1.055022281008010623e+03
3.891297099033011464e-01 1.057458258697072779e+03
3.901300433477826179e-01 1.059892807119139434e+03
3.911303767922640895e-01 1.062325926731945856e+03
3.921307102367456165e-01 1.064757617995231612e+03
3.931310436812270881e-01 1.067187881370731247e+03
3.941313771257086152e-01 1.069616717322168370e+03
3.951317105701900867e-01 1.072044126315247013e+03
3.961320440146715582e-01 1.074470108817646860e+03
3.971323774591530853e-01 1.076894665299013241e+03
3.981327109036345568e-01 1.079317796230950080e+03
3.991330443481160839e-01 1.081739502087014898e+03
4.001333777925975554e-01 1.084159783342708351e+03
4.011337112370790270e-01 1.086578640475469456e+03
4.021340446815605540e-01 1.088996073964666948e+03
4.031343781260420256e-01 1.091412084291591782e+03
4.041347115705235526e-01 1.093826671939451444e+03
4.051350450150050242e-01 1.096239837393360858e+03
4.061353784594864957e-01 1.098651581140335566e+03
4.071357119039680228e-01 1.101061903669286721e+03
4.081360453484494943e-01 1.103470805471009271e+03
4.091363787929310214e-01 1.105878287038179678e+03
4.101367122374124929e-01 1.108284348865344782e+03
4.111370456818939645e-01 1.110688991448917477e+03
4.121373791263754915e-01 1.113092215287166937e+03
4.131377125708569631e-01 1.115494020880214293e+03
4.141380460153384901e-01 1.117894408730022406e+03
4.151383794598199617e-01 1.120293379340390629e+03
4.161387129043014332e-01 1.122690933216947769e+03
4.171390463487829603e-01 1.125087070867143893e+03
4.181393797932644318e-01 1.127481792800242829e+03
4.191397132377459589e-01 1.129875099527317616e+03
4.201400466822274304e-01 1.132266991561239593e+03
4.211403801267089020e-01 1.134657469416674303e+03
4.221407135711904290e-01 1.137046533610073539e+03
4.231410470156719006e-01 1.139434184659667153e+03
4.241413804601534276e-01 1.141820423085458060e+03
4.251417139046348992e-01 1.144205249409212229e+03
4.261420473491163707e-01 1.146588664154454591e+03
4.271423807935978978e-01 1.148970667846460628e+03
4.281427142380793693e-01 1.151351261012248642e+03
4.291430476825608964e-01 1.153730444180574750e+03
4.301433811270423679e-01 1.156108217881922656e+03
